Rank	Name	Twitter Handle	Followers	Following	Tweets
120	Gerard Piqué	@3gerardpique	13442932	533	2277
121	??????? ????	@AlArabiya_Brk	13422592	36	76308
122	UberFacts	@UberFacts	13406521	1	123809
123	Maroon 5	@maroon5	13399413	417	3496
124	UberSocial	@UberSoc	13392073	2259	34937
125	Ashley Tisdale	@ashleytisdale	13179659	199	6956
126	snap mionoficial	@marcosmion	13120067	524	16340
127	Dalai Lama	@DalaiLama	13043353	0	1219
128	Champions League	@ChampionsLeague	12991245	666	44104
129	Zac Efron	@ZacEfron	12979675	76	1398
130	sachin tendulkar	@sachin_rt	12944766	78	1167
131	Simon Cowell	@SimonCowell	12704874	2775	1838
132	Premier League	@premierleague	12703093	24	71616
133	Virat Kohli	@imVkohli	12647354	40	964
134	Luciano Huck	@LucianoHuck	12442049	392	9870
135	The White House	@WhiteHouse	12426807	224	27350
136	CHANEL	@CHANEL	12425757	0	1356
137	PlayStation	@PlayStation	12411858	764	22028
138	Papa Francisco	@Pontifex_es	12329101	8	986
139	Ramalan Indonesia	@TweetRAMALAN	12261459	38	112575
140	A.R.Rahman	@arrahman	12260843	0	1194
141	Stephen Fry	@stephenfry	12247528	50684	21866
142	Tom Hanks	@tomhanks	12235477	24	731
143	SHAQ	@SHAQ	12094549	664	8299
144	Russell Brand	@rustyrockets	12061737	293	8156
145	Wall Street Journal	@WSJ	12049172	1074	176946
146	TIME	@TIME	12031784	842	200391
147	Samsung Mobile	@SamsungMobile	12022171	441	4244
148	President Obama	@POTUS	11972739	72	321
149	Twitter Music	@TwitterMusic	11801760	286	12280
150	Cem Y?lmaz	@CMYLMZ	11784092	133	218
151	Starbucks Coffee	@Starbucks	11773631	99401	82085
152	Vogue Magazine	@voguemagazine	11738502	530	44438
153	Radamel Falcao	@FALCAO	11730470	533	5234
154	Sean Diddy Combs	@iamdiddy	11694127	1815	36112
155	Charlie Sheen	@charliesheen	11678774	154	2033
156	Fox News	@FoxNews	11671890	430	279269
157	Ludacris	@Ludacris	11654481	324	19326
158	Programa Pânico	@programapanico	11608183	1840	55966
159	JUANES	@juanes	11546813	1838	8533
160	????? ???????	@AlAfasy	11477495	1072	24865
161	Ricky Gervais	@rickygervais	11463143	1082	38060
162	James Rodríguez	@jamesdrodriguez	11398707	275	2427
163	Usher Raymond IV	@Usher	11364427	508	5006
164	Paulo Coelho	@paulocoelho	11362190	253	31584
165	Seth MacFarlane	@SethMacFarlane	11326259	390	6406
166	???? ???????	@AlArabiya	11246071	36	118379
167	Kelly Clarkson	@kelly_clarkson	11206098	64	5750
168	luna maya	@LunaMaya26	11115684	687	12632
169	Sabrina Sato Rahal	@SabrinaSato	11090062	1336	29299
170	Paulina Rubio	@paurubio	11076500	1055	7858
171	Enrique Iglesias	@enriqueiglesias	11005258	2871	4987
172	Carly Rae Jepsen	@carlyraejepsen	10953669	88441	6637
173	Stephen Colbert	@StephenAtHome	10951234	33	3972
174	Forbes	@Forbes	10909818	5266	146274
175	Aziz Ansari	@azizansari	10854682	0	7626
176	Sherina Sinna	@sherinasinna	10800764	370	4
177	Rafa Nadal	@RafaelNadal	10737565	77	2271
178	Kobe Bryant	@kobebryant	10699849	239	1112
179	Globo	@RedeGlobo	10699346	583	105708
180	Rafinha Bastos	@rafinhabastos	10584353	381	29268
181	Xbox	@Xbox	10575594	17801	155354
182	Nick Jonas	@nickjonas	10553610	700	2938
183	????? ??????	@salman_alodah	10417839	387	49463
184	Elissa	@elissakh	10406203	279	30278
185	Dwayne Johnson	@TheRock	10369447	61	14443
186	E! News	@enews	10360849	121775	178936
187	Gareth Bale	@GarethBale11	10337210	108	1104
188	FC Barcelona	@FCBarcelona_es	10300917	60	82011
189	Hillary Clinton	@HillaryClinton	10252738	759	9774
190	Sergio Kun Aguero	@aguerosergiokun	10237727	117	4188
191	5 Seconds of Summer	@5SOS	10206222	32840	26020
192	Nancy Ajram	@NancyAjram	10159710	101	12995
193	Trey Songz	@TreySongz	10123198	3627	12198
194	Pope Francis	@Pontifex	9951767	8	997
195	Xabi Alonso	@XabiAlonso	9927763	472	489
196	William Bonner	@realwbonner	9916001	48	10215
197	Abhishek Bachchan	@juniorbachchan	9872878	383	24975
198	???? ???????	@AJArabic	9852354	21	179668
199	Victoria Beckham	@victoriabeckham	9800929	53	2776
200	Austin Mahone	@AustinMahone	9626507	89934	39375
201	Twitter Media	@twittermedia	9626422	194	1750
202	Twitter TV	@twittertv	9538983	1654	14159
203	Sonam Kapoor	@sonamakapoor	9514665	654	13525
204	Arvind Kejriwal	@ArvindKejriwal	9497584	159	15195
205	Alia Bhatt	@aliaa08	9464160	234	3689
206	Victoria Justice	@VictoriaJustice	9463369	1978	18963
207	Marcelo Tas	@MarceloTas	9411753	2468	18375
208	Jessica Alba	@jessicaalba	9388321	1321	5799
209	FIFA.com	@FIFAcom	9365374	814	57787
210	Cameron Dallas	@camerondallas	9362689	19545	36459
211	S. B. Yudhoyono	@SBYudhoyono	9354495	155	4496
212	Pharrell Williams	@Pharrell	9346257	1012	3936
213	Lindsay Lohan	@lindsaylohan	9308036	514	6810
214	Afgan	@afgansyah_reza	9305897	601	11023
215	Recep Tayyip Erdo?an	@RT_Erdogan	9292428	2	4140
216	pewdiepie	@pewdiepie	9274679	496	355
217	Sean Don	@BigSean	9271623	2142	19663
218	Legendários	@Legendarios	9262743	53	28490
219	Android	@Android	9232092	57	3359
220	Shahid Kapoor	@shahidkapoor	9197322	105	6043
221	Fantástico	@showdavida	9165728	43	31450
222	Manchester United	@ManUtd	9150720	94	30074
223	Daddy Yankee	@daddy_yankee	9142315	82	17209
224	Breaking News	@BreakingNews	9131359	557	99844
225	Victoria's Secret	@VictoriasSecret	9126965	1237	115927
226	The Onion	@TheOnion	9121465	18	46280
227	Sarah Silverman	@SarahKSilverman	9054597	719	6112
228	Anahi	@Anahi	9045807	637	7374
229	????? ???	@sabqorg	9031286	1	98672
230	Sofia Vergara	@SofiaVergara	9012941	74	6023
231	kata kata bijak	@kata2bijak	8967950	131	146835
232	The Associated Press	@AP	8936454	7270	158730
233	Karan Johar	@karanjohar	8909802	400	6369
234	marcelo tinelli	@cuervotinelli	8896384	531	38377
235	Tata werneck	@Tatawerneck	8875347	1959	7459
236	Calvin Harris	@CalvinHarris	8874902	3871	7467
237	Anushka Sharma	@AnushkaSharma	8834502	118	2806
238	Cinema XXI	@cinema21	8809169	63	16361
239	J. Cole	@JColeNC	8793515	405	2527
240	John Cena	@JohnCena	8790088	2332	4938
241	Eugenio Derbez	@EugenioDerbez	8780825	584	7846
242	Richard Branson	@richardbranson	8765869	3843	14019
243	Marc Anthony	@MarcAnthony	8753185	734	4437
244	Anderson Cooper	@andersoncooper	8738031	252	18105
245	snap luquemarco	@marcoluque	8734294	377	23126
246	Cesc Fàbregas Soler	@cesc4official	8686922	176	3257
247	Apple Music	@AppleMusic	8664530	1039	25972
248	German Garmendia	@GermanGarmendia	8641219	168	11805
249	Sergio Ramos	@SergioRamos	8622230	645	2756
250	Vidi Aldiano	@vidialdiano	8622220	514	28860
251	METRO TV	@Metro_TV	8608808	74	679927
252	Channing Tatum	@channingtatum	8586886	297	7014
253	Farhan Akhtar	@FarOutAkhtar	8569011	244	5277
254	TED Talks	@TEDTalks	8565456	479	18245
255	Thalia	@thalia	8552297	1662	19946
256	J.K. Rowling	@jk_rowling	8545388	398	5751
257	Dr Bassem Youssef	@DrBassemYoussef	8525425	701	10289
258	G1	@g1	8516712	194	484111
259	Times of India	@timesofindia	8512042	497	282270
260	Carles Puyol	@Carles5puyol	8478201	317	1829
261	Arsenal FC	@Arsenal	8450079	159169	67792
262	Anne Curtis-Smith	@annecurtissmith	8429609	1469	41129
263	Carmelo Anthony	@carmeloanthony	8400816	302	2633
264	Jessie J	@JessieJ	8400446	20	19796
265	Robin van Persie	@Persie_Official	8387306	141	531
266	???? ??? ??????	@NabilAlawadhy	8380505	492	28193
267	LMFAO	@LMFAO	8374261	1548	5767
268	J O E J O N A S	@joejonas	8337539	1125	9166
269	WWE	@WWE	8334609	352	141613
270	David Bisbal	@davidbisbal	8329133	707	15253
271	Angel Locsin	@143redangel	8305614	509	9298
272	John Legend	@johnlegend	8289547	745	9559
273	David Luiz	@DavidLuiz_4	8266736	194	2231
274	Gusttavo Lima	@gusttavo_lima	8232572	1149	14510
275	TwitPic	@TwitPic	8225933	26423	559
276	H&M	@hm	8168720	304	10127
277	Abdullah Gül	@cbabdullahgul	8161857	3	1693
278	Little Mix	@LittleMix	8158449	30627	27136
279	NDTV	@ndtv	8136216	22	302020
280	Huffington Post	@HuffingtonPost	8121374	5710	472286
281	50cent	@50cent	8085460	17	12865
282	Mindy Kaling	@mindykaling	8056441	839	15602
283	CNN ????????	@cnnarabic	8043663	200	100170
284	jose marie viceral	@vicegandako	8042430	581	20175
285	Luke Hemmings	@Luke5SOS	8029708	22034	8428
286	Chetan Bhagat	@chetan_bhagat	7994604	151	12212
287	Jimmy Kimmel	@jimmykimmel	7981734	486	3866
288	Steve Martin	@SteveMartinToGo	7957515	191	6723
289	ABC News	@ABC	7943534	799	149223
290	Luan Santana	@luansantana	7933453	1992	9789
291	PITTY	@Pitty	7913270	140	10128
292	Shawn Mendes	@ShawnMendes	7904509	55101	13339
293	Hootsuite	@hootsuite	7899365	1558807	41967
294	Ricardo Montaner	@montanertwiter	7874560	345	45691
295	James Corden	@JKCorden	7843274	1890	9243
296	Sonakshi Sinha	@sonakshisinha	7840964	87	10967
297	Luke Bryan	@LukeBryanOnline	7839506	11742	3673
298	?. ???? ????????	@TareqAlSuwaidan	7826974	20	18701
299	Mario Teguh	@marioteguh	7825773	0	33939
300	United Nations	@UN	7824837	1131	51917
301	Microsoft	@Microsoft	7801616	1998	11915
302	Luis Suarez	@LuisSuarez9	7795620	45	702
303	Cody Simpson	@CodySimpson	7784654	206067	33041
304	Kris Jenner	@KrisJenner	7763972	269	10323
305	CHAYANNE	@CHAYANNEMUSIC	7757129	1008	3742
306	Luis Fonsi	 @LuisFonsi	7745545	450	7035
307	Anderson Silva	@SpiderAnderson	7712323	474	3601
308	David Villa	@Guaje7Villa	7693405	569	1585
309	tvOneNews	@tvOneNews	7680328	44	102892
310	Raffi Ahmad	@RaffiAhmadLagi	7642768	253	13136
311	Parineeti Chopra	@ParineetiChopra	7633302	250	6037
312	Yuya	@yuyacst	7617260	613	12005
313	Rockstar Games	@RockstarGames	7608365	923	14562
314	MUY Interesante	@muyinteresante	7560511	534	98663
315	WEREVER CACHORRITO	@werevertumorro	7552179	2161	76376
316	Robert Downey Jr	@RobertDowneyJr	7552001	62	445
317	Mashable	@mashable	7541358	2834	203223
318	Washington Post	@washingtonpost	7538243	1298	195576
319	Miranda Cosgrove	@MirandaCosgrove	7532412	13675	6953
320	Virender Sehwag	@virendersehwag	7514467	88	7429
321	Chelsea FC	@ChelseaFC	7505708	235	63414
322	Michael Clifford	@Michael5SOS	7481891	15288	11607
323	Cher Lloyd	@CherLloyd	7465959	12641	5762
324	Fabio Porchat	@FabioPorchat	7444196	856	10008
325	TechCrunch	@TechCrunch	7434101	855	136114
326	Olly Murs	@ollyofficial	7433615	3161	18347
327	Eva Longoria Baston	@EvaLongoria	7426858	808	14999
328	Daniel Alves	@DaniAlvesD2	7425487	371	5374
329	Stephen Curry	@StephenCurry30	7393815	641	6561
330	9GAG	@9GAG	7382181	9	33324
331	VEJA	@VEJA	7377475	24686	223854
332	Rio Ferdinand	@rioferdy5	7334506	525	17184
333	BBC News (UK)	@BBCNews	7263913	87	309741
334	Jessica Simpson	@JessicaSimpson	7260664	162	1609
335	fearne cotton	@Fearnecotton	7258701	554	18888
336	Joaquín López-Dóriga	@lopezdoriga	7243770	1234	151571
337	Disney•Pixar	@DisneyPixar	7242917	139	4677
338	Kendrick Lamar	@kendricklamar	7238725	491	4126
339	WIRED	@WIRED	7216865	272	68857
340	Suresh Raina	@ImRaina	7215815	261	1383
341	Serena Williams	@serenawilliams	7208397	337	13584
342	Chicharito Hernandez	@CH14_	7207544	432	1102
343	Burberry	@Burberry	7202232	237	10829
344	Calum Hood	@Calum5SOS	7176627	16489	14231
345	Jessica Iskandar	@inijedar	7173840	3	42130
346	Javier Mascherano	@Mascherano	7144315	204	923
347	IGGY AZALEA	@IGGYAZALEA	7128454	3608	45180
348	Noticias Caracol	@NoticiasCaracol	7117561	7222	429469
349	People Magazine	@people	7116888	1493	103475
350	Marc Jacobs	@marcjacobs	7116055	1545	19746
351	????? ????????	@SaudiNews50	7087898	3	82080
352	Twitter Movies	@TwitterMovies	7084745	225	5734
353	T-Raww	@Tyga	7062115	4481	10423
354	Carlos Loret de Mola	@CarlosLoret	7021874	1034	54845
355	HH Sheikh Mohammed	@HHShkMohd	6998594	62	4266
356	OMG Facts	@OMGFacts	6998300	74	83269
357	Dior	@Dior	6996856	140	1979
358	Holly Willoughby	@hollywills	6989829	262	5270
359	Floyd Mayweather	@FloydMayweather	6988189	630	7438
360	G-DRAGON	@IBGDRGN	6987003	126	4014
361	NE-YO	@NeYoCompound	6977207	7528	12880
362	Ahlam - ????? ??	@Ahlam_Alshamsi	6972618	698	48172
363	Hugh Jackman	@RealHughJackman	6972220	16	2546
364	The X Factor	@TheXFactor	6964780	26536	32427
365	Queen Latifah	@IAMQUEENLATIFAH	6944495	578	4448
366	Zendaya	@Zendaya	6943827	1690	56638
367	Adam Levine	@adamlevine	6932533	15289	5640
368	Galilea Montijo	@GalileaMontijo	6900406	1304	21851
369	Roberto G. Bolaños	@ChespiritoRGB	6899643	21	3037
370	The New Yorker	@NewYorker	6899128	373	45992
371	Nicole Polizzi	@snooki	6895838	417	27868
372	KELENDRIA ROWLAND	@KELLYROWLAND	6888478	1667	10775
373	Cara Delevingne	@Caradelevingne	6877670	1046	6869
374	zooey deschanel	@ZooeyDeschanel	6864945	592	3828
375	Ciara	@ciara	6829583	46	9209
376	Aristegui Noticias	@AristeguiOnline	6797916	8	151473
377	T.I.	@Tip	6792957	705	16676
378	shireen sungkar	@shireensungkar	6724289	719	10553
379	Zoë	@Zoella	6723385	466	39774
380	Nina Dobrev	@ninadobrev	6718177	114	6405
381	Galatasaray SK	@GalatasaraySK	6712173	70	53033
382	Common White Girl	@girlposts	6702747	62657	66505
383	ROBERT KARDASHIAN	@robkardashian	6701400	230	579
384	Raisa Andriana	@raisa6690	6695630	443	25372
385	Pegg News	@simonpegg	6669773	0	15706
386	Jimmy Carr	@jimmycarr	6655551	304	3322
387	Lucero	@LuceroMexico	6647962	48	28425
388	Ricardo Arjona ®	@Ricardo_Arjona	6635824	45	2785
389	Nike	@Nike	6618247	156	27783
390	MBC1	@mbc1	6585793	25	84787
391	Dulce Maria	@DulceMaria	6582420	768	24176
392	Dwight Howard	@DwightHoward	6559055	7708	22244
393	Gad Elmaleh	@gadelmaleh	6545795	603	4518
394	KATH	@bernardokath	6532833	617	6028
395	Noticias RCN	@NoticiasRCN	6530428	943	316272
396	Juan Luis Guerra	@JuanLuisGuerra	6528946	39	884
397	?????? ????????	@HashKSA	6527603	876	51099
398	Real Madrid C.F.	@realmadriden	6524743	49	28660
399	Scott Disick	@ScottDisick	6510301	25	2453
400	elrubius	@Rubiu5	6505107	653	21435
401	pepatah	@pepatah	6499204	165	46689
402	bella thorne	@bellathorne	6499130	7813	75340
403	Omar Chaparro	@OMARCHAPARRO	6487534	1314	24757
404	atademirer	@atademirer	6484273	122	1443
405	Ellie Goulding	@elliegoulding	6448259	552	17926
406	Novak Djokovic	@DjokerNole	6447667	709	2309
407	Ian Somerhalder	@iansomerhalder	6441738	662	9317
408	Bumi Dinasti	@bumi__dinasti	6421838	4	171878
409	Liverpool FC	@LFC	6418383	390500	57428
410	Twitter Books	@TwitterBooks	6407398	309	1825
411	Bill Clinton	@billclinton	6395964	26	521
412	????? 24 / FRANCE 24	@France24_ar	6391089	1054	136333
413	NTV	@ntv	6376768	53	125279
414	Gonzalo Higuaín	@G_Higuain	6362336	219	353
415	TMC Polda Metro Jaya	@TMCPoldaMetro	6358775	0	465234
416	Google Play	@GooglePlay	6356866	1112	71127
417	Jeremy Clarkson	@JeremyClarkson	6352016	164	5087
418	MLB	@MLB	6345500	4856	127200
419	Perez Hilton	@PerezHilton	6337278	672	264598
420	NPR	@NPR	6332730	72895	103977
421	David De Gea	@D_DeGea	6304212	197	1606
422	Jennette McCurdy	@jennettemccurdy	6302457	41405	43
423	Henrique Capriles R.	@hcapriles	6298425	1911	21551
424	Le Monde	@lemondefr	6256287	408	193130
425	Snap: cearawm	@oceara	6255638	284	7356
426	BBC Sport	@BBCSport	6254997	253	228956
427	Cheryl	@CherylOfficial	6212154	938	6156
428	Cyprien	@MonsieurDream	6209651	512	11446
429	Roger Federer	@rogerfederer	6182157	79	1258
430	Sushma Swaraj	@SushmaSwaraj	6158787	0	4374
431	Lana Del Rey	@LanaDelRey	6145577	1101	760
432	Serginho Groisman	@oserginho	6131874	496	6580
433	Twitter API	@twitterapi	6108508	47	3579
434	Ash Xx	@Ashton5SOS	6106114	9593	9951
435	Tom Cruise	@TomCruise	6103916	56300	11111
436	Yeng Constantino	@YengPLUGGEDin	6102164	1005	37415
437	Samuel L. Jackson	@SamuelLJackson	6080680	804	2773
438	#106andPark	@106andpark	6063238	694	29057
439	Connor Franta	@ConnorFranta	6059490	4437	24407
440	La Patilla	@la_patilla	6037389	159	3134365
441	Google Chrome	@googlechrome	6035183	107	1565
442	Tiger Woods	@TigerWoods	6023856	17	559
443	China Xinhua News	@XHNews	6022611	130	70055
444	The Guardian	@guardian	6017348	1115	292789
445	????? ??????	@youm7	6016958	12	556751
446	Elon Musk	@elonmusk	6010732	39	2359
447	Jamel Debbouze	@DebbouzeJamel	5982520	424	5068
448	Ahok Basuki TPurnama	@basuki_btp	5968590	52	2412
449	Claro Brasil	@ClaroBrasil	5946367	15544	185579
450	Miranda Lambert	@mirandalambert	5944844	244	3499
451	TIMES NOW	@TimesNow	5934525	259	172678
452	Joko Widodo	@jokowi	5928566	57	472
453	ELLE Magazine (US)	@ELLEmagazine	5928294	1092	104107
454	Rodrigo Scarpa	@rodrigovesgo	5920583	1389	9741
455	antanddec	@antanddec	5919009	536	12478
456	Luisana Lopilato	@lulopilato	5917882	106	7135
457	Kompas.com	@kompascom	5912321	23	728622
458	Chelsea Handler	@chelseahandler	5905624	89	5289
459	Jason Mraz	@jason_mraz	5902205	36	3343
460	AKON	@Akon	5892744	429	2366
461	Vanessa Hudgens	@VanessaHudgens	5882461	139	3970
462	lily allen	@lilyallen	5882007	1227	16336
463	SKRILLEX	@Skrillex	5880330	1134	13955
464	Lucy Hale	@lucyhale	5878675	602	15895
465	Iker Casillas	@IkerCasillas	5877695	1459	2027
466	Ana Hickmann	@ahickmann	5867321	177	23163
467	Enrique Peña Nieto	@EPN	5867249	273	4598
468	Rita Ora	@RitaOra	5853430	1729	9809
469	Windows	@Windows	5852868	1715	207307
470	????????? ?? ????	@abdulrahman	5851744	2977	14067
471	OneLouder Apps	@OneLouderApps	5851283	45233	6319
472	Jamie Oliver	@jamieoliver	5832556	4323	21214
473	Carrie Underwood	@carrieunderwood	5812007	380	3570
474	Anna Kendrick	@AnnaKendrick47	5787693	286	1997
475	Louis Vuitton	@LouisVuitton	5782947	13	3144
476	Jorge & Mateus	@jorgeemateus	5778515	371	14344
477	???? ?????	@realmadridarab	5764071	44	19128
478	Nash Grier	@Nashgrier	5745409	74473	29869
479	Jaden Smith	@officialjaden	5738548	7	2945
480	Discovery	@Discovery	5732397	3340	39033
481	Demet Akalin Kurt	@DemetAkalin	5729537	762	81268
482	SportsNation	@SportsNation	5726285	1042	20029
483	MYX Philippines	@MYXphilippines	5725790	656	75897
484	UNICEF	@UNICEF	5719928	24980	30390
485	Residente	@Residente	5718085	1317	25148
486	Marcelotwelve	@MarceloM12	5717967	330	1485
487	Mac	@MacMiller	5712599	1176	31420
488	Mahendra Singh Dhoni	@msdhoni	5710807	32	436
489	The Notebook	@Notebook	5698733	148	50213
490	DWade	@DwyaneWade	5689154	590	8057
491	????? ?? ????????	@KingSalman	5683831	0	309
492	bunga citra lestari	@bclsinclair	5683751	157	9236
493	EL PAÍS	@el_pais	5675183	737	279000
494	CNN International	@cnni	5674200	364	103790
495	Nicole Scherzinger	@NicoleScherzy	5672154	322	5965
496	Mary J. Blige	@maryjblige	5669510	312	6836
497	FLO RIDA	@official_flo	5667429	2387	22840
498	Entertainment Weekly	@EW	5654744	5776	128083
499	Bianca Gonzalez	@iamsuperbianca	5645582	644	49016
500	Arun Jaitley	@arunjaitley	5633695	161	1566
501	okan bayulgen	@okanbayulgen	5632961	3944	4865
502	Ajay Devgn	@ajaydevgn	5631741	54	1929
503	Michelle Obama	@MichelleObama	5601641	9	766
504	Cinépolis	@Cinepolis	5586976	22180	37746
505	Sandy Leah	@SandyLeah	5583676	114	5040
506	Carmen Aristegui	@aristeguicnn	5583352	17	1694
507	Crowdfire	@Crowdfire	5579711	163127	41331
508	Rania Al Abdullah	@QueenRania	5573637	39	1610
509	Tiago Leifert	@TiagoLeifert	5540931	280	26394
510	????	@ariyoshihiroiki	5527819	236	15101
511	Daniel Padilla	@imdanielpadilla	5525826	767	2901
512	Hitam Putih Trans|7	@HitamPutihT7	5515463	498	14323
513	Tyler Oakley	@tyleroakley	5502161	470	43902
514	Laudya Cynthia bella	@Bellaudyaa	5498719	977	19138
515	Adam Schefter	@AdamSchefter	5491865	2427	33061
